,emotion,statements,gender,mfcc
datasources\EMO_DB\EMO_DB_DATA\wav\09a02Wb.wav,anger,She wants to hand that in on Wednesday,female,"[-376.6136169433594, 150.44976806640625, -28.528980255126953, -16.657567977905273, 29.02010726928711, 4.854256629943848, -1.6592321395874023, 8.57762622833252, 1.0102356672286987, 3.0819714069366455, 3.995494842529297, -5.444844722747803, -1.6817138195037842, -3.2879223823547363, -14.171853065490723, -4.719899654388428, 1.3685003519058228, -11.965353965759277, -9.266960144042969, 0.7110543847084045]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a04Fd.wav,happiness,I could tell him Tonight,female,"[-388.4221496582031, 154.50721740722656, -35.846805572509766, -19.36829948425293, 25.315458297729492, -10.32446575164795, -14.474681854248047, 7.109918594360352, -2.7756268978118896, -4.847762107849121, 3.4455668926239014, -4.586988925933838, -6.4298834800720215, -1.8422030210494995, -4.966047763824463, -2.045747995376587, -1.8044344186782837, -11.590008735656738, -8.415696144104004, -0.8517334461212158]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a04La.wav,boredom,I could tell him Tonight,female,"[-321.9938659667969, 185.95620727539062, -1.610345482826233, -0.4591373801231384, 44.3153190612793, 13.06531047821045, -6.097938537597656, 9.527334213256836, 12.08093547821045, 9.850118637084961, 8.850197792053223, 2.9851651191711426, 2.823537588119507, -0.06925095617771149, -5.83219051361084, 2.6908271312713623, 6.649786949157715, -4.694242477416992, -3.519747018814087, 4.402589797973633]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a04Nb.wav,neutral,I could tell him Tonight,female,"[-314.9197692871094, 190.4616241455078, -13.09522533416748, 0.9790263175964355, 44.22340393066406, 3.614950180053711, -4.910362243652344, 13.936717987060547, 6.3506903648376465, 8.581939697265625, 14.498502731323242, 1.7982096672058105, -2.182490348815918, -1.7558265924453735, -5.753640174865723, 3.747331380844116, 6.184335231781006, -6.899774551391602, -2.4333205223083496, 5.834415435791016]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a04Wa.wav,anger,I could tell him Tonight,female,"[-367.5646057128906, 145.15357971191406, -24.568220138549805, -21.868911743164062, 18.533998489379883, -2.4853899478912354, -6.108527660369873, 9.688705444335938, 3.109699249267578, -0.03500346466898918, 4.06218957901001, -1.0844535827636719, -2.788461208343506, -3.836521625518799, -7.6412835121154785, -1.387589693069458, 0.04647928476333618, -9.63663387298584, -6.6562089920043945, 0.0954490378499031]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Ed.wav,disgust,The black piece of paper is up there next to the piece of wood,female,"[-327.8359069824219, 136.15118408203125, -16.696250915527344, 6.914129257202148, 36.273616790771484, -0.42328011989593506, 2.118800163269043, 15.823249816894531, -0.560938835144043, 2.0765085220336914, 6.981223106384277, -8.765143394470215, -5.916207790374756, 3.6210567951202393, -4.388323783874512, -3.4500648975372314, 1.3390001058578491, -6.076117515563965, -4.486922740936279, 1.2607758045196533]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Lc.wav,boredom,The black piece of paper is up there next to the piece of wood,female,"[-338.15240478515625, 169.22230529785156, -18.59922981262207, 4.4472737312316895, 51.551517486572266, 11.99399185180664, 0.6269704103469849, 15.27815055847168, 4.932860374450684, 6.880412578582764, 13.468077659606934, -0.2772076725959778, -3.2877495288848877, 1.6334309577941895, -2.2783594131469727, 4.258230686187744, 8.28469467163086, -5.43744421005249, -5.982086181640625, 4.670516014099121]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Nb.wav,neutral,The black piece of paper is up there next to the piece of wood,female,"[-371.30987548828125, 165.92959594726562, -8.641176223754883, 8.523706436157227, 49.99684524536133, 14.40043830871582, 2.6283023357391357, 14.542683601379395, 6.495329856872559, 7.051024913787842, 10.171744346618652, 1.3439366817474365, 1.2791879177093506, -1.053861141204834, -8.305370330810547, 2.0436227321624756, 6.776368141174316, -6.532392501831055, -5.371942043304443, 1.97951078414917]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Tb.wav,sadness,The black piece of paper is up there next to the piece of wood,female,"[-308.8841552734375, 159.58633422851562, -18.423524856567383, 6.3076491355896, 45.52994155883789, 7.497425556182861, 6.56983757019043, 19.812589645385742, 3.343647003173828, 10.066389083862305, 18.20108413696289, -2.2131106853485107, -3.1592392921447754, 6.959165096282959, -1.4809304475784302, 2.436248779296875, 10.51327133178711, -2.8028035163879395, -4.281394958496094, 7.1774444580078125]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Wb.wav,anger,The black piece of paper is up there next to the piece of wood,female,"[-321.5420227050781, 139.59156799316406, -36.11686706542969, -16.29596519470215, 29.840951919555664, -3.2688539028167725, -13.349553108215332, 2.35357928276062, -2.084763288497925, -0.6168115139007568, 1.368336796760559, -8.981064796447754, -7.571308135986328, -4.582426071166992, -8.857795715332031, -1.448326826095581, 0.10722661763429642, -11.529826164245605, -6.425539970397949, 1.876592993736267]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Wc.wav,anger,The black piece of paper is up there next to the piece of wood,female,"[-348.59783935546875, 130.92745971679688, -39.48108673095703, -20.505535125732422, 26.07979965209961, -4.929347991943359, -15.49245834350586, 1.8277857303619385, 0.18860557675361633, -1.9572994709014893, -4.274056434631348, -11.285884857177734, -6.166234493255615, -5.101202487945557, -10.724691390991211, -1.9351611137390137, -0.46664172410964966, -12.922101974487305, -7.168687343597412, 1.9012657403945923]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Eb.wav,disgust,It will be ready in seven hours,female,"[-309.7540283203125, 124.41333770751953, -9.2346830368042, 5.115801811218262, 27.239229202270508, 1.6407779455184937, 10.195867538452148, 17.610074996948242, -3.865770101547241, -0.7436879873275757, 6.752552032470703, -7.234049320220947, -5.144014358520508, 1.5822361707687378, -8.541977882385254, -5.312789440155029, 3.2487215995788574, -5.887475490570068, -6.608545303344727, 2.4636778831481934]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Na.wav,neutral,It will be ready in seven hours,female,"[-284.90020751953125, 152.75057983398438, -11.025850296020508, 10.36747932434082, 46.83656311035156, 9.387190818786621, 4.12131929397583, 19.924121856689453, 9.325789451599121, 8.877863883972168, 12.188597679138184, 0.14748245477676392, -1.2180635929107666, -0.7334347367286682, -8.472524642944336, -1.001378059387207, 5.118578910827637, -6.461612224578857, -5.922930717468262, 3.9702324867248535]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Ta.wav,sadness,It will be ready in seven hours,female,"[-268.1410217285156, 160.92991638183594, -13.859965324401855, 7.255805969238281, 41.7738151550293, 4.181344032287598, 7.1501145362854, 24.015390396118164, 7.680794715881348, 11.506357192993164, 19.863115310668945, 2.76780104637146, 0.5217453241348267, 5.982223987579346, -3.359278678894043, 2.179502248764038, 11.46176528930664, -1.1179747581481934, -4.025350093841553, 6.016177177429199]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Wb.wav,anger,It will be ready in seven hours,female,"[-337.51068115234375, 149.72238159179688, -56.7748908996582, -26.28810691833496, 31.07834243774414, -5.900373458862305, -14.854050636291504, 1.0712110996246338, -5.035604000091553, 0.05145834758877754, 0.5397453904151917, -12.279372215270996, -5.727848052978516, -4.78430700302124, -15.514598846435547, -3.4238245487213135, 0.6538795828819275, -16.681915283203125, -10.064467430114746, 1.9243580102920532]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Wd.wav,anger,It will be ready in seven hours,female,"[-341.0673828125, 155.3551483154297, -28.215721130371094, -11.094016075134277, 30.76508140563965, 0.7766672968864441, -1.7056903839111328, 10.311882019042969, 0.9454036355018616, 4.177645683288574, 4.46390962600708, -5.007518291473389, 0.8945432305335999, -2.9914395809173584, -13.772858619689941, 0.23947367072105408, 2.4587671756744385, -16.259565353393555, -9.076671600341797, 2.752223014831543]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b01Ea.wav,disgust,What kind of bags are there under the table,female,"[-313.98455810546875, 131.879150390625, -40.20598602294922, -3.940082550048828, 32.795230865478516, -4.43916130065918, 8.254125595092773, 21.731836318969727, -7.271924018859863, -5.299747943878174, 4.083347797393799, -11.790840148925781, -6.261734962463379, 2.528510570526123, -10.12158489227295, -5.804757595062256, 1.41972815990448, -11.061325073242188, -7.690831661224365, 3.782538414001465]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b01Na.wav,neutral,What kind of bags are there under the table,female,"[-316.7237243652344, 158.5523681640625, -21.18938636779785, 7.579216957092285, 53.613956451416016, 13.77070140838623, 5.819842338562012, 21.035274505615234, 7.573634147644043, 5.275010585784912, 8.923840522766113, -2.204432964324951, -2.17044997215271, -0.4636515974998474, -5.848767280578613, 3.651731014251709, 5.867584705352783, -10.586121559143066, -7.972618579864502, 3.5462331771850586]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b01Wb.wav,anger,What kind of bags are there under the table,female,"[-329.5443115234375, 163.7464599609375, -46.998008728027344, -18.7194766998291, 37.80781936645508, 2.834836721420288, -3.094874382019043, 11.314966201782227, 0.01656952314078808, -0.14173069596290588, -3.5278854370117188, -15.60827922821045, -4.552759170532227, -1.7803679704666138, -13.184076309204102, -0.916917622089386, 1.5138294696807861, -18.792192459106445, -11.317370414733887, 3.4847769737243652]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Na.wav,neutral,They just carried it up and now they're going down again,female,"[-297.7940673828125, 174.7150421142578, -4.157116413116455, 10.166933059692383, 48.3973503112793, 6.435420989990234, -5.906067371368408, 14.895798683166504, 11.081029891967773, 7.8174052238464355, 10.153955459594727, 1.1629787683486938, -2.099736452102661, -1.4869245290756226, -3.840474843978882, 1.7179094552993774, 1.6461856365203857, -7.159954071044922, -2.4293646812438965, 3.1470062732696533]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Tb.wav,sadness,They just carried it up and now they're going down again,female,"[-273.0032653808594, 176.45057678222656, -8.821151733398438, 11.014666557312012, 47.523040771484375, 6.135777950286865, 3.7555596828460693, 20.171945571899414, 6.125917434692383, 11.394286155700684, 20.45526123046875, 2.806861400604248, -1.28914213180542, 4.908819675445557, -1.0819178819656372, 3.371560573577881, 8.068047523498535, -2.96633243560791, -1.6871066093444824, 5.0037617683410645]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Wc.wav,anger,They just carried it up and now they're going down again,female,"[-288.2223815917969, 182.5338592529297, -26.22470474243164, -2.1144912242889404, 38.32159423828125, -3.6508350372314453, -2.1883022785186768, 10.797590255737305, -4.415679931640625, 8.69603157043457, 14.76007080078125, -7.611101150512695, -2.9506373405456543, 3.4681010246276855, -11.073600769042969, -1.6927578449249268, 7.465433597564697, -10.387327194213867, -8.302854537963867, 4.7150468826293945]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Wd.wav,anger,They just carried it up and now they're going down again,female,"[-357.1197814941406, 167.91110229492188, -25.33228874206543, -14.552607536315918, 32.11089324951172, 0.6303547024726868, -11.047220230102539, 1.9740724563598633, -1.7169926166534424, 3.5203542709350586, 6.483694553375244, -5.568981647491455, -3.9548680782318115, -2.0687904357910156, -10.561720848083496, -2.676995038986206, 3.1507651805877686, -9.928895950317383, -8.25999641418457, 1.7791869640350342]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Ed.wav,disgust,I used to go home on the weekends and visit Agnes,female,"[-336.5294494628906, 168.83526611328125, -16.83028221130371, -5.764707088470459, 26.594825744628906, -7.15002965927124, -2.711829900741577, 13.086612701416016, -3.221268892288208, -0.16810153424739838, 8.499885559082031, -3.7349164485931396, -2.6299893856048584, 1.9396814107894897, -7.4661431312561035, -3.857358932495117, 1.2553980350494385, -8.534015655517578, -6.217966079711914, 1.7836964130401611]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Fa.wav,happiness,I used to go home on the weekends and visit Agnes,female,"[-332.4913024902344, 134.3614501953125, -29.55030059814453, -17.813322067260742, 22.455509185791016, -6.730560302734375, -15.180109977722168, 1.249732494354248, -1.2222304344177246, 0.5528901815414429, 3.064514636993408, -7.7126946449279785, -7.2278337478637695, -1.8838067054748535, -6.748683929443359, -4.248922824859619, -1.837088704109192, -10.432785034179688, -7.5702643394470215, 0.6247686743736267]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Fd.wav,happiness,I used to go home on the weekends and visit Agnes,female,"[-289.2321472167969, 152.6764678955078, -26.890897750854492, -11.845474243164062, 26.114362716674805, -9.378632545471191, -10.23148250579834, 11.267871856689453, 1.3067080974578857, -0.6879891753196716, 2.9520320892333984, -8.580567359924316, -6.173309326171875, 0.5917666554450989, -8.217015266418457, -7.1892805099487305, -2.208507776260376, -10.751248359680176, -8.735382080078125, 0.3560890257358551]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Lb.wav,boredom,I used to go home on the weekends and visit Agnes,female,"[-304.2452392578125, 181.47972106933594, -10.707733154296875, 1.6911503076553345, 49.07877731323242, 10.229500770568848, -8.840508460998535, 8.516901969909668, 9.714790344238281, 12.510393142700195, 14.917989730834961, 2.1756370067596436, -0.6417253017425537, 2.8125874996185303, -1.8864368200302124, 1.5217218399047852, 3.967866897583008, -5.9607391357421875, -4.424289226531982, 3.2790729999542236]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Nb.wav,neutral,I used to go home on the weekends and visit Agnes,female,"[-299.0472717285156, 174.41844177246094, -1.387068271636963, 7.841900825500488, 46.04683303833008, 7.605487823486328, -6.723757743835449, 13.231403350830078, 12.624703407287598, 9.360064506530762, 9.687520027160645, 1.2089269161224365, -0.6778612732887268, 0.6781893968582153, -1.9913007020950317, 1.939937710762024, 0.7191991806030273, -8.138498306274414, -3.0621750354766846, 2.8283398151397705]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Ta.wav,sadness,I used to go home on the weekends and visit Agnes,female,"[-264.95452880859375, 178.52468872070312, -11.106362342834473, 2.6984059810638428, 45.9677848815918, 7.335360050201416, -5.826013565063477, 11.07421875, 9.50568675994873, 15.19492244720459, 17.00048065185547, -0.35550248622894287, -0.41503915190696716, 7.91243839263916, 0.6596477031707764, 0.8865095376968384, 4.948785781860352, -3.0434205532073975, -1.006697416305542, 6.261111736297607]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Wb.wav,anger,I used to go home on the weekends and visit Agnes,female,"[-332.06195068359375, 162.30081176757812, -38.18524169921875, -18.900104522705078, 29.83582305908203, -8.881635665893555, -18.51216697692871, 3.1754980087280273, 0.3228853940963745, -1.2956597805023193, -0.8808140158653259, -6.636534214019775, -2.1605355739593506, -5.18715238571167, -13.33166217803955, -2.19425630569458, -0.6259804368019104, -14.711692810058594, -7.492142677307129, 1.3399111032485962]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b09Ea.wav,disgust,I want to take that away and then go have a drink with Karl,female,"[-339.7709045410156, 132.5209503173828, -13.643974304199219, 1.5826280117034912, 32.749114990234375, 7.188503265380859, 10.358722686767578, 20.878318786621094, 3.749582290649414, 1.7294635772705078, 5.402980327606201, -4.966783046722412, -2.9983911514282227, 0.5545027852058411, -7.278563022613525, -3.1704463958740234, 1.3373615741729736, -7.37386417388916, -5.385132312774658, 1.331954836845398]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b09Nd.wav,neutral,I want to take that away and then go have a drink with Karl,female,"[-308.4179382324219, 156.00111389160156, -3.4122631549835205, 5.0324907302856445, 40.98749542236328, 13.599626541137695, 6.670443534851074, 18.922405242919922, 10.849536895751953, 8.537903785705566, 9.44743824005127, 0.6054624319076538, 0.8372511863708496, 1.0372587442398071, -4.723091125488281, 2.7750232219696045, 5.921640872955322, -6.434125900268555, -4.656729221343994, 4.195376873016357]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b09Wa.wav,anger,I want to take that away and then go have a drink with Karl,female,"[-315.55133056640625, 159.603271484375, -32.92366027832031, -17.190080642700195, 35.056026458740234, 7.2723188400268555, -3.250401020050049, 9.933406829833984, 4.790432929992676, 1.8392877578735352, -2.7361204624176025, -9.464093208312988, -1.6874080896377563, -4.643545627593994, -14.898024559020996, -2.880307197570801, -0.0079288175329566, -15.773971557617188, -9.1151123046875, 2.4267382621765137]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b10Aa.wav,anxiety/fear,It will be in the place where we always put it,female,"[-280.63140869140625, 163.05137634277344, -26.752201080322266, -1.008733868598938, 45.83480453491211, 4.682581901550293, -4.167298793792725, 13.347797393798828, 3.226508855819702, 3.0117297172546387, 6.718457221984863, -5.0665483474731445, -4.289434909820557, -2.454606771469116, -10.349345207214355, -2.395230770111084, 1.054479956626892, -14.197938919067383, -11.218786239624023, 0.19471976161003113]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b10Nd.wav,neutral,It will be in the place where we always put it,female,"[-325.7554931640625, 171.498291015625, -4.245126247406006, 8.03843879699707, 53.02867889404297, 18.328027725219727, 1.5750504732131958, 17.9080753326416, 13.537684440612793, 6.177274227142334, 7.785109043121338, 4.216999530792236, 0.9311420321464539, -2.980297327041626, -4.582210063934326, 4.194007873535156, 3.248911142349243, -9.021397590637207, -5.679032325744629, 1.4452961683273315]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b10Wa.wav,anger,It will be in the place where we always put it,female,"[-328.4803771972656, 164.06068420410156, -44.93723678588867, -16.535720825195312, 40.220855712890625, 3.3344550132751465, -5.975046157836914, 8.082030296325684, -1.0553269386291504, 2.3346927165985107, 2.7817790508270264, -10.411396980285645, -3.8879969120025635, -1.9358938932418823, -12.77802562713623, -1.985059380531311, 1.382454514503479, -16.27928352355957, -9.614725112915039, 3.0373194217681885]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a01Ac.wav,anxiety/fear,The tablecloth is lying on the fridge,male,"[-333.0978088378906, 159.20069885253906, -43.16463088989258, -4.650298118591309, 37.64908218383789, -8.538369178771973, 1.471137285232544, 21.418094635009766, -0.6260753870010376, 11.866873741149902, 27.620725631713867, 4.186558246612549, -0.481334388256073, 4.332650184631348, -10.711585998535156, -5.616535663604736, 7.008969783782959, -3.6384241580963135, -3.696117877960205, 5.578507423400879]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a01Nb.wav,neutral,The tablecloth is lying on the fridge,male,"[-328.6589660644531, 181.21624755859375, -15.43753719329834, 4.502469539642334, 44.52323532104492, 4.24440336227417, 0.42001307010650635, 12.09439468383789, -1.4296375513076782, 12.009615898132324, 23.597026824951172, 4.084578037261963, 4.434121608734131, 9.89660358428955, -8.492664337158203, -6.995615005493164, 8.161554336547852, -1.2777372598648071, -6.920228004455566, 2.326754331588745]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a01Wa.wav,anger,The tablecloth is lying on the fridge,male,"[-332.47088623046875, 203.00172424316406, -54.37971115112305, -16.063875198364258, 32.66030502319336, -21.058013916015625, -7.960895538330078, 15.262654304504395, -9.330475807189941, 2.9566283226013184, 13.492079734802246, -8.75374984741211, 3.708634853363037, 15.107824325561523, -7.225329875946045, -2.6675312519073486, 7.757739067077637, -9.400465965270996, -5.174262046813965, 7.955329418182373]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Ab.wav,anxiety/fear,She wants to hand that in on Wednesday,male,"[-294.46295166015625, 150.64283752441406, -46.792171478271484, 2.785998582839966, 43.43122482299805, -6.609136581420898, 7.423040866851807, 24.817020416259766, -3.4712600708007812, 8.376995086669922, 19.821847915649414, -6.597439765930176, -0.9199300408363342, 13.63455581665039, -4.262398719787598, -5.997355937957764, 2.6731908321380615, -7.776672840118408, -5.82908821105957, 2.120039463043213]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Fa.wav,happiness,She wants to hand that in on Wednesday,male,"[-314.5447998046875, 143.7228240966797, -22.184728622436523, -1.5077418088912964, 26.691951751708984, -4.554434776306152, 7.589908599853516, 16.511137008666992, -5.955148220062256, 8.240198135375977, 19.590909957885742, -6.006856441497803, -6.487811088562012, 5.012775421142578, -8.162095069885254, -6.328860759735107, 4.773305892944336, -6.962316513061523, -9.051587104797363, 2.436354160308838]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Lb.wav,boredom,She wants to hand that in on Wednesday,male,"[-301.1868896484375, 175.258056640625, 5.3275251388549805, 5.431013107299805, 37.47684860229492, 16.00384521484375, 14.576987266540527, 17.462854385375977, 3.259331464767456, 12.00292682647705, 14.927257537841797, -6.018488883972168, -0.9413301348686218, 12.454604148864746, -3.1651127338409424, -9.837848663330078, -0.23508845269680023, -5.515707015991211, -6.933907985687256, 3.5844357013702393]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Na.wav,neutral,She wants to hand that in on Wednesday,male,"[-330.6988220214844, 154.14060974121094, -5.61559534072876, 4.694563388824463, 37.189857482910156, 8.021867752075195, 3.020637273788452, 12.34185791015625, 5.614231109619141, 14.134502410888672, 16.43733024597168, -0.014695534482598305, 3.6653571128845215, 9.253740310668945, -5.633848667144775, -5.982346534729004, 3.1504945755004883, -4.731996059417725, -7.320938587188721, -0.30170539021492004]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Wa.wav,anger,She wants to hand that in on Wednesday,male,"[-314.6299133300781, 163.2018280029297, -34.19825744628906, -9.396794319152832, 28.8653507232666, -5.561849594116211, 2.9806950092315674, 11.018818855285645, -10.47014331817627, 3.7908880710601807, 12.838682174682617, -4.648401737213135, 8.587579727172852, 17.30571937561035, -6.238020896911621, -5.329035758972168, 5.752688407897949, -6.800309181213379, -5.749318599700928, 4.353446960449219]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Fd.wav,happiness,I could tell him Tonight,male,"[-303.4167175292969, 159.63485717773438, -11.148360252380371, 0.5268409252166748, 24.699481964111328, -5.948358058929443, 6.490922451019287, 15.392488479614258, -7.58530855178833, 7.632143974304199, 22.746498107910156, -2.9168646335601807, -7.927748680114746, 2.266568422317505, -9.95023250579834, -8.298770904541016, 4.400261402130127, -6.324105262756348, -11.189308166503906, -0.7837764024734497]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Nb.wav,neutral,I could tell him Tonight,male,"[-339.4158935546875, 179.8124237060547, -8.819368362426758, 6.578388690948486, 48.0969123840332, 10.567049980163574, -0.8133159279823303, 9.339221000671387, 1.683477520942688, 10.411728858947754, 15.720165252685547, 2.5314078330993652, 9.380827903747559, 13.079716682434082, -7.768800258636475, -6.791889667510986, 9.025240898132324, 1.2277920246124268, -5.555468559265137, 0.5922805070877075]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Wa.wav,anger,I could tell him Tonight,male,"[-299.4799499511719, 188.99658203125, -52.24176788330078, -7.657120704650879, 39.19187927246094, -12.232028007507324, 2.6573331356048584, 17.02728843688965, -16.351055145263672, -0.9057531952857971, 14.987793922424316, -8.381672859191895, 3.4729723930358887, 16.90293312072754, -7.216169357299805, -5.25442361831665, 8.418052673339844, -5.668354511260986, -4.356954097747803, 7.336048603057861]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Wb.wav,anger,I could tell him Tonight,male,"[-307.1459045410156, 160.67616271972656, -28.403409957885742, -12.208027839660645, 21.869338989257812, -10.653525352478027, -4.273446083068848, 5.4032206535339355, -12.208791732788086, 0.6244197487831116, 10.006443977355957, -6.268184185028076, 3.2201766967773438, 12.18867301940918, -5.771914482116699, -4.319797515869141, 4.214197635650635, -7.979928970336914, -5.0807785987854, 6.9718780517578125]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Aa.wav,anxiety/fear,The black piece of paper is up there next to the piece of wood,male,"[-286.234619140625, 153.97047424316406, -34.353023529052734, 1.867910385131836, 41.656280517578125, -0.44072800874710083, 7.944467544555664, 19.087617874145508, -9.90097427368164, 2.4541141986846924, 19.971324920654297, -5.818872451782227, -8.150793075561523, 8.47789478302002, -3.209700107574463, -7.981868743896484, 0.8052470088005066, -6.459640026092529, -8.534439086914062, -2.1530818939208984]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Ld.wav,boredom,The black piece of paper is up there next to the piece of wood,male,"[-314.1351013183594, 176.30809020996094, -0.5434688925743103, 6.507660865783691, 42.193294525146484, 15.038069725036621, 11.200437545776367, 15.037590980529785, -0.159074068069458, 10.780744552612305, 19.560840606689453, -0.982803463935852, -2.1456594467163086, 7.53362512588501, -6.117826461791992, -10.733501434326172, 0.505048394203186, -1.378524661064148, -3.7654078006744385, 0.9845579862594604]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Tb.wav,sadness,The black piece of paper is up there next to the piece of wood,male,"[-285.1669921875, 180.8759765625, -18.423866271972656, 10.845903396606445, 47.53672409057617, 1.2349187135696411, 4.664158821105957, 18.667423248291016, -1.8122671842575073, 8.9331693649292, 21.529970169067383, 6.329831600189209, 12.658577919006348, 16.522897720336914, -6.047595500946045, -4.824392318725586, 9.01192569732666, 1.4694510698318481, 0.16014128923416138, 3.6033236980438232]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Wb.wav,anger,The black piece of paper is up there next to the piece of wood,male,"[-379.7331237792969, 136.27513122558594, -22.12725067138672, -4.742677688598633, 28.1348876953125, 0.4228382110595703, 3.0495831966400146, 8.09225082397461, -11.072467803955078, 1.0530991554260254, 16.27583122253418, 1.495388388633728, 1.0350431203842163, 7.324805736541748, -5.859252452850342, -6.594166278839111, 2.3824098110198975, -4.279691219329834, -5.270768642425537, 1.300380825996399]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Aa.wav,anxiety/fear,It will be ready in seven hours,male,"[-246.0351104736328, 174.6221160888672, -69.84498596191406, 1.6396358013153076, 50.600040435791016, -18.476594924926758, 6.064338684082031, 35.19386672973633, -5.347455024719238, 7.436808109283447, 28.213769912719727, -6.141037940979004, -8.745075225830078, 7.390597343444824, -6.932641506195068, -3.094180107116699, 5.990397930145264, -9.422893524169922, -4.66119384765625, 6.089110374450684]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Ad.wav,anxiety/fear,It will be ready in seven hours,male,"[-302.9441833496094, 176.66995239257812, -51.08396530151367, 7.381269931793213, 51.12929153442383, -10.01910400390625, 8.794336318969727, 29.6539249420166, -8.602897644042969, 5.714422225952148, 29.892526626586914, 4.162232398986816, 1.2819064855575562, 8.002945899963379, -11.896086692810059, -7.0223469734191895, 6.7076826095581055, -6.432343006134033, -5.720155715942383, 3.1348519325256348]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a07La.wav,boredom,It will be ready in seven hours,male,"[-313.4893798828125, 195.49269104003906, -7.490329742431641, 8.541620254516602, 44.35688018798828, 7.479761600494385, 12.046783447265625, 19.543033599853516, -5.1963276863098145, 8.111471176147461, 23.584333419799805, -0.017584489658474922, -2.2974798679351807, 10.28732681274414, -1.8743406534194946, -5.90014123916626, 0.15752030909061432, -7.6131978034973145, -5.676230430603027, 2.9814658164978027]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Ta.wav,sadness,It will be ready in seven hours,male,"[-325.6978759765625, 171.6209259033203, -4.763777256011963, 17.503314971923828, 43.57228469848633, -0.3352496922016144, 7.061984062194824, 23.08005714416504, 1.062058687210083, 8.628593444824219, 25.05632781982422, 12.276041030883789, 11.506322860717773, 12.63504409790039, -6.000100612640381, -5.611401557922363, 7.205023765563965, 1.5506290197372437, -1.8819046020507812, 1.2007648944854736]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Wb.wav,anger,It will be ready in seven hours,male,"[-345.1567077636719, 146.96624755859375, -34.24118423461914, -7.499547004699707, 28.8769474029541, -5.9910993576049805, 3.258542060852051, 15.211006164550781, -7.691842079162598, 0.33411768078804016, 11.115301132202148, -4.027999401092529, 3.659024238586426, 13.185320854187012, -1.8099861145019531, 0.12573283910751343, 7.162317276000977, -6.081164836883545, -5.391933441162109, 4.401545524597168]"
